,code,date,time,floor,type,basicPrice,ceilingPrice,floorPrice,open,high,low,close,average,adOpen,adHigh,adLow,adClose,adAverage,nmVolume,nmValue,ptVolume,ptValue,change,adChange,pctChange,snapshot_date,vietnameseName
86,VTC,2021-12-01,15:12:04,HNX,STOCK,15.7,17.2,14.2,15.7,15.8,15.7,15.7,15.702,15.017,15.113,15.017,15.017,15.019,4800.0,75370000.0,0.0,0.0,0.0,0.0,0.0,2021-12-01,Viễn thông
152,VTC,2021-12-03,15:12:08,HNX,STOCK,17.2,18.9,15.5,15.5,16.0,15.5,16.0,15.833,14.826,15.304,14.826,15.304,15.144,1229.0,19452800.0,4.0,62000.0,-1.2,-1.1478,-6.9767,2021-12-03,Viễn thông
668,VGI,2021-12-03,15:12:01,UPCOM,STOCK,34.8,40.0,29.6,35.0,35.2,33.4,33.4,34.124,35.0,35.2,33.4,33.4,34.124,478373.0,16323923000.0,0.0,0.0,-1.4,-1.4,-4.023,2021-12-03,Viễn thông
756,VGI,2021-12-09,15:12:01,UPCOM,STOCK,32.2,37.0,27.4,32.2,32.6,31.8,32.5,32.135,32.2,32.6,31.8,32.5,32.135,442200.0,14210070000.0,0.0,0.0,0.3,0.3,0.9317,2021-12-09,Viễn thông
932,TEL,2021-12-14,15:12:01,UPCOM,STOCK,16.0,18.4,13.6,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-12-14,Viễn thông
959,VTC,2021-12-10,15:12:03,HNX,STOCK,15.0,16.5,13.5,15.0,15.0,14.9,15.0,14.998,14.348,14.348,14.252,14.348,14.346,17252.0,258740000.0,0.0,0.0,0.0,0.0,0.0,2021-12-10,Viễn thông
960,VTC,2021-12-14,15:12:04,HNX,STOCK,15.0,16.5,13.5,15.0,15.0,15.0,15.0,15.0,14.348,14.348,14.348,14.348,14.348,2047.0,30724100.0,0.0,0.0,0.0,0.0,0.0,2021-12-14,Viễn thông
1145,VGI,2021-12-14,15:12:01,UPCOM,STOCK,33.1,38.0,28.2,33.1,33.6,32.5,33.1,32.928,33.1,33.6,32.5,33.1,32.928,287667.0,9472198300.0,0.0,0.0,0.0,0.0,0.0,2021-12-14,Viễn thông
1274,VGI,2021-12-15,15:12:01,UPCOM,STOCK,32.9,37.8,28.0,32.9,32.9,32.4,32.5,32.588,32.9,32.9,32.4,32.5,32.588,298300.0,9720930000.0,0.0,0.0,-0.4,-0.4,-1.2158,2021-12-15,Viễn thông
1466,VTC,2021-12-13,15:12:03,HNX,STOCK,15.0,16.5,13.5,15.0,15.0,15.0,15.0,15.0,14.348,14.348,14.348,14.348,14.348,104.0,1558000.0,0.0,0.0,0.0,0.0,0.0,2021-12-13,Viễn thông
1662,VTC,2021-12-07,15:12:03,HNX,STOCK,14.7,16.1,13.3,14.7,14.7,14.7,14.7,14.7,14.061,14.061,14.061,14.061,14.061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-12-07,Viễn thông
2074,ABC,2021-12-29,15:12:01,UPCOM,STOCK,14.6,16.7,12.5,14.4,14.4,13.8,13.8,13.898,14.4,14.4,13.8,13.8,13.898,106900.0,1485670000.0,0.0,0.0,-0.8,-0.8,-5.4795,2021-12-29,Viễn thông
2203,ABC,2021-12-10,15:12:01,UPCOM,STOCK,13.5,15.5,11.5,13.6,13.7,13.5,13.6,13.538,13.6,13.7,13.5,13.6,13.538,24292.0,328864100.0,0.0,0.0,0.1,0.1,0.7407,2021-12-10,Viễn thông
2407,VTC,2021-12-31,15:12:02,HNX,STOCK,15.0,16.5,13.5,15.5,15.5,15.0,15.0,15.25,14.826,14.826,14.348,14.348,14.587,200.0,3050000.0,0.0,0.0,0.0,0.0,0.0,2021-12-31,Viễn thông
2483,VTC,2021-12-20,15:12:02,HNX,STOCK,15.0,16.5,13.5,14.6,15.0,14.5,15.0,14.638,13.965,14.348,13.869,14.348,14.001,800.0,11710000.0,0.0,0.0,0.0,0.0,0.0,2021-12-20,Viễn thông
2774,TEL,2021-12-06,15:12:02,UPCOM,STOCK,16.0,18.4,13.6,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-12-06,Viễn thông
3460,ABC,2021-12-22,15:12:01,UPCOM,STOCK,13.4,15.4,11.4,13.6,15.4,13.6,15.4,15.09,13.6,15.4,13.6,15.4,15.09,304363.0,4592652900.0,0.0,0.0,2.0,2.0,14.9254,2021-12-22,Viễn thông
