date,close,open,high,low,nmVolume
2018-09-25,21.0,21.0,21.0,16.0,1816800.0
2018-09-26,23.9,23.9,23.9,23.8,214200.0
2018-09-27,27.4,27.4,27.4,27.4,388100.0
2018-09-28,28.2,31.5,31.5,27.4,2111074.0
2018-10-01,26.8,29.5,29.6,25.8,831097.0
2018-10-02,26.0,27.1,27.3,25.9,596270.0
2018-10-03,23.5,26.2,26.2,23.0,705230.0
2018-10-04,23.6,23.9,23.9,22.9,408223.0
2018-10-05,25.5,23.5,26.0,23.5,349732.0
2018-10-08,24.8,25.5,25.5,24.7,189270.0
2018-10-09,24.4,24.8,24.8,23.9,205130.0
2018-10-10,23.5,24.2,24.3,23.4,251141.0
2018-10-11,21.4,23.0,23.3,21.0,398300.0
2018-10-12,23.0,21.4,23.1,20.1,264470.0
2018-10-15,22.7,23.2,23.9,22.1,202370.0
2018-10-16,22.8,22.7,22.8,22.4,105510.0
2018-10-17,22.7,22.8,23.2,22.5,148250.0
2018-10-18,22.4,21.5,22.7,21.0,98760.0
2018-10-19,21.9,22.0,22.0,21.1,159900.0
2018-10-22,21.5,21.5,22.5,21.5,117500.0
2018-10-23,21.2,21.8,21.8,21.0,176449.0
2018-10-24,20.2,21.2,21.2,20.1,177975.0
2018-10-25,19.2,20.0,20.0,18.5,282110.0
2018-10-26,19.1,19.5,20.0,19.0,131400.0
2018-10-29,19.0,18.9,19.2,18.9,162710.0
2018-10-30,18.8,19.0,19.0,18.8,104760.0
2018-10-31,18.1,18.9,18.9,18.1,219250.0
2018-11-01,17.3,18.1,18.4,17.2,208400.0
2018-11-02,17.1,17.1,17.2,16.6,221210.0
2018-11-05,18.0,17.0,18.4,16.8,161530.0
2018-11-06,18.1,18.0,18.7,18.0,84670.0
2018-11-07,18.0,18.1,18.1,17.4,75300.0
2018-11-08,17.9,18.1,18.4,17.6,85030.0
2018-11-09,17.7,17.9,18.0,17.7,77246.0
2018-11-12,17.4,17.1,17.6,17.1,75210.0
2018-11-13,17.0,17.1,17.2,16.7,101368.0
2018-11-14,16.9,16.8,17.0,16.6,51440.0
2018-11-15,16.6,16.9,17.4,16.5,90642.0
2018-11-16,17.2,16.9,17.2,16.8,102124.0
2018-11-19,17.0,17.2,17.3,17.0,19385.0
2018-11-20,17.0,17.2,17.2,16.9,54323.0
2018-11-21,16.7,16.9,17.0,16.6,93122.0
2018-11-22,16.8,16.7,16.9,16.7,72120.0
2018-11-23,16.8,16.6,16.8,16.6,45830.0
2018-11-26,16.8,16.9,16.9,16.6,67000.0
2018-11-27,16.6,16.7,16.7,16.5,115200.0
2018-11-28,16.4,16.6,16.6,16.4,47410.0
2018-11-29,16.1,16.4,16.6,16.1,79900.0
2018-11-30,16.0,16.2,16.2,15.8,116840.0
2018-12-03,15.8,15.9,16.1,15.7,145590.0
2018-12-04,15.9,15.8,15.9,15.7,104300.0
